myPosition,raisePosition,reraisePosition,callPosition,hands,color
HJ,UTG,BTN,"HJ,UTG2","AQs,A5s,JJ,TT,99,88,77,76s,66,65s,55,54s,44,33,22",green

HJ,UTG,BTN,HJ,"AKo",red
HJ,UTG,BTN,HJ,"QQ",yellow
HJ,UTG,BTN,HJ,"AQs,AJs,KQs,KJs,JJ,TT,76s,66,65s,54s,44,33,22",green

####################################################################
## HJ call ##
UTG,UTG,SB,HJ,"AKs,AKo,KK,",red
UTG,UTG,SB,HJ,"AA,",yellow
UTG,UTG,SB,HJ,"AQs,QQ,JJ,KQs,65s,54s",green


HJ,UTG,SB,"HJ,UTG2","AKo,QQ",yellow
HJ,UTG,SB,"HJ,UTG2","JJ,76s,44,33,22",green

HJ,UTG,SB,HJ,"AQs,AKo,KQs,QQ,JJ,T9s,76s,65s,54s",green

#########################################################################
## HJ call ##
